bus_name,phase,pp_bus_idx,vn_kv,N,MAPE_%,Max_%,MeanSigned_%
mv_f0_lv37_f0_n2,B,9254,0.433,2,3.986153853588605,4.032270808064014,3.986153853588605
mv_f0_lv24_f0_c5,B,6663,0.433,2,3.986146391644975,3.9863376663697685,3.986146391644975
mv_f0_lv31_f0_c36,C,8285,0.433,2,3.9861439652800126,4.114771107411587,3.9861439652800126
mv_f0_lv24_f0_n5,B,6662,0.433,2,3.9860974970860674,3.9862276259399283,3.9860974970860674
mv_f0_lv29_f1_n35,C,7884,0.433,2,3.9860686283523625,4.016931573175158,3.9860686283523625
mv_f0_lv0_f1_n11,B,742,0.433,2,3.9860667198457156,4.116705832489425,3.9860667198457156
mv_f0_lv20_f1_n9,C,5792,0.433,2,3.98595291922894,4.0205234028924925,3.98595291922894
mv_f0_lv20_f1_c9,C,5793,0.433,2,3.9859319998041753,4.020456265846967,3.9859319998041753
mv_f0_lv20_f0_c8,C,5711,0.433,2,3.9859011916086557,4.031292946422131,3.9859011916086557
mv_f0_lv20_f0_n8,C,5710,0.433,2,3.9858931994747406,4.031284296546336,3.9858931994747406
mv_f0_lv19_f0_n25,B,5646,0.433,2,3.985775418233624,4.080696581381078,3.985775418233624
mv_f0_lv21_f1_n7,B,6078,0.433,2,3.9857366629386277,4.017714956733405,3.9857366629386277
mv_f0_lv20_f2_n19,C,5892,0.433,2,3.9857056949120464,4.088370743085428,3.9857056949120464
mv_f0_lv29_f1_n34,C,7882,0.433,2,3.985667514183515,4.016307150472897,3.985667514183515
mv_f0_lv7_f3_n4,A,2792,0.433,2,3.9856608447721786,3.991198178900477,3.9856608447721786
mv_f0_lv31_f0_n36,C,8284,0.433,2,3.985649932664497,4.115641140483883,3.985649932664497
mv_f0_lv19_f0_c31,B,5659,0.433,2,3.9855342626858343,4.082151987053849,3.9855342626858343
mv_f0_lv31_f0_c17,B,8247,0.433,2,3.9855257930561656,4.039976185950673,3.9855257930561656
mv_f0_lv5_f5_c32,B,2503,0.433,2,3.985513144507551,4.028418865119913,3.985513144507551
mv_f0_lv26_f0_c11,A,7191,0.433,2,3.9854190502590234,4.077474508160425,3.9854190502590234
mv_f0_lv13_f0_n30,C,4290,0.433,2,3.9853497825596578,4.020253442993655,3.9853497825596578
mv_f0_lv33_f0_n1,B,8570,0.433,2,3.985309076731866,3.9933273920462615,3.985309076731866
mv_f0_lv33_f0_c1,B,8571,0.433,2,3.9852622815949585,3.993291216741275,3.9852622815949585
mv_f0_lv13_f0_c7,C,4245,0.433,2,3.985249276447627,4.00566989448995,3.985249276447627
mv_f0_lv13_f1_c16,A,4343,0.433,2,3.9852173469886853,3.997377191372758,3.9852173469886853
mv_f0_lv29_f1_c34,C,7883,0.433,2,3.985151520572863,4.015829712995843,3.985151520572863
mv_f0_lv29_f1_c35,C,7885,0.433,2,3.985138867391776,4.015803505033381,3.985138867391776
mv_f0_n401,A,292,22.0,2,3.9851107311957144,3.987561884594216,3.9851107311957144
mv_f0_n437,A,529,22.0,2,3.9851096801196553,3.987560779773669,3.9851096801196553
mv_f0_n402,A,515,22.0,2,3.9851096454397856,3.9875607416255185,3.9851096454397856
mv_f0_n215,A,281,22.0,2,3.9851085250040343,3.987559560508709,3.9851085250040343
mv_f0_lv41_f2_c26,B,10301,0.433,2,3.9849706767315847,4.360605961907461,3.9849706767315847
mv_f0_lv41_f2_n26,B,10300,0.433,2,3.984926753283945,4.36056983539045,3.984926753283945
mv_f0_lv7_f0_n24,B,2592,0.433,2,3.9848661443349522,4.100988318600974,3.9848661443349522
mv_f0_lv39_f0_n29,B,9632,0.433,2,3.98485909210439,4.1441561922999215,3.98485909210439
mv_f0_lv10_f2_n12,A,3510,0.433,2,3.9848430810083837,4.203345359093624,3.9848430810083837
mv_f0_lv13_f0_c30,C,4291,0.433,2,3.9848129087599204,4.020317089299564,3.9848129087599204
mv_f0_lv42_f0_c14,C,10439,0.433,2,3.984810442662499,4.296118212059176,3.984810442662499
