time_step;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
0;3.52528620708999;11.883968294044955;23.494971297362344;13.181008470354394;31.415443626436783;14.907520383776715;27.444470074111194;32.86583867770211;8.760995349994422;15.078004918425902;21.732812010286697;17.981223049311584;20.25855345183895;14.336642124803975;21.773751858032163;13.942572794422334;18.758901271024246;21.494019154493376;22.740674055734623;17.07941317689445;8.723652571188392;14.06200289085059;12.47561312360343;21.20175249243576;20.46546374125033;6.757697317728314;19.011724154455052;24.028897933760067;15.682295955417638;20.12486616823424;16.350816582394156;13.851902039477734;20.772159653897393;13.928315011133998;11.702739050205443;10.331740818421494;9.148642300833565;17.221280675285612;18.18700074523493;23.146486966502767;14.751944992091943;19.79782510119011;16.253535208290803;23.07612520560954;13.596158928809038
1;2.7203129211073556;9.665726894460873;20.01207550005473;12.43993133656032;29.95855475431875;13.637820785230856;22.797912346032515;30.885251148149333;7.4519975804298255;14.066172626415893;20.003884875104177;17.779849895435202;17.363050170583826;12.842920839287105;17.909425445880206;12.085493302331558;17.014817947067158;19.355651700376963;19.999328569226275;15.211985658984622;8.026720553228092;12.872586122621119;11.115270801833466;18.48125864505106;19.173872721322436;6.223516617535844;17.28646397483022;20.899323511681835;14.77625572672977;18.68775149917818;13.53093840074425;11.981273737184802;17.38886751472518;12.812004688744965;12.028003577207187;9.265616733575195;7.357207606031646;15.97422257552803;17.187375208786136;21.88118569815061;13.464735300012576;17.99399884612713;14.464282737976253;20.155352530378856;13.468798141829849
2;2.3995631367253294;11.91823018816437;17.687120969553458;11.490044970517076;23.537251619785785;12.798094784880709;21.797511235313006;31.127431872687428;7.2515866940386235;13.33863488655628;17.7428762455449;16.394995929938695;17.442968705544423;12.048480275166277;19.71870275862623;17.877536012721013;16.168685946725656;19.196154745301314;18.232500264179414;17.083911508162487;7.200026562303083;12.678167094910089;11.118156585687226;17.1299717538621;17.078921021869746;9.714845712026793;15.499716158191124;19.205396390111414;14.681923758262402;16.73769539352077;12.187789112336493;14.572349955813824;14.55566979513363;14.572320089487413;10.86592570105543;10.071533036985853;6.939422670556156;15.637081252026826;16.399618797041093;18.31468457156555;13.645259509396674;17.12782767112211;14.36027063779427;17.932122634711934;12.685576399701837
3;2.502391033633456;8.90935162722851;17.39394517740664;10.731344348626669;20.86061618578794;12.642190121262125;20.77447924625862;30.665315797910324;6.548152933747298;11.867742637617805;15.66447878109808;15.787953128061009;16.585753593926665;11.50785785725735;16.838800138410512;11.102120475292608;13.008276387687925;16.150788570159623;17.187614465663486;12.146368712559193;7.026603188887136;11.985481984717577;8.880524134878687;15.544446115502044;15.87704944048982;6.438236150668754;15.035462359861809;16.253889146535286;14.533451516131066;15.05687146781723;12.219813423218579;10.53369352506555;13.050036592727166;10.311042005079784;9.927105750724468;7.7605031884015725;5.917703179429725;12.518358697159135;14.838410131513852;18.309668860973353;11.003033452386106;16.780069212908497;13.041282042187415;15.127445654486563;11.876872207579558
4;2.940285543959346;8.04211848369103;18.973137698638073;9.671711909995734;18.621867641233166;11.658474651226731;19.65226264117502;30.9338987317341;6.260565738713747;10.60970493631391;14.47652816186093;14.56143330900359;16.323618667124485;10.869094367897034;15.320227438072026;10.115536776205277;12.210552034953102;15.342833412493286;16.583939509541146;11.929549871046355;5.629165295938251;11.122017373228374;8.562702514812653;14.678658623061795;15.543574922363993;5.409559055371746;14.393577700270313;15.694589521226105;12.443269493175084;13.90449211709221;12.312756569614375;9.255138486103915;13.24090394097373;9.893372071179742;9.437477408587364;8.038763955345836;6.497021004018724;11.991819712728104;13.37235043994491;16.69849781842116;11.238834695349407;14.29374200161558;11.971819701534798;14.166945680845549;10.39514695474795
5;2.159297315963615;7.791635521472099;14.977720161505303;9.217454692481457;17.818981749821532;9.522255508002628;19.56640494369228;30.730126175749366;6.148499734994625;10.609412643327216;13.745131093200987;15.75252392105032;16.90515530928409;10.310212254685142;17.992511603444548;9.873141267046437;11.957666859548441;15.71674539977123;16.670218342563054;13.125197287057166;5.969396313596785;11.514503516589295;8.1181334984032;14.985881323635983;15.044974889414759;5.393752889480688;13.286094557639894;14.48026632206566;12.779650122867414;17.041524971180376;11.402278071199182;10.26698205722499;12.679216363565162;8.995908596684849;8.889703620255148;8.077995704999177;5.093606598644267;11.708511031364512;12.631325938155591;15.779195781414876;9.781002544225249;12.618812510978291;11.84407685599481;14.379173125540687;10.198648999047261
6;2.674826997965795;7.06680020912918;17.228361022330546;9.031175977693929;17.121934739791715;9.14797708347694;20.461393363027636;30.775337299877865;5.914959061758716;10.615679121081465;13.078753538738495;15.488321819873056;17.151452735626602;10.186358388656945;19.133096180218228;9.280352557088415;11.28796905639442;14.195697898630058;15.683776801385296;12.08246801726864;7.042101972098644;11.013923867449625;7.4862757958063515;15.692485162626882;14.316361957249535;5.197319300379287;12.423884606268954;13.586629972192107;12.9635693729722;17.193995499551143;10.619035548875345;10.209456658425824;12.972460894500745;8.86455237982116;8.772415935795303;7.865114584813263;5.740721218121006;11.665998543684388;12.331330058216157;15.710758363512427;10.396850773928065;14.095867866246497;11.26012237166713;13.803469672171301;10.233808368374415
7;2.1542741019293277;6.836554797373361;14.490081216849477;8.577449529690277;15.631618022811208;9.024021794786284;18.25594957095589;30.663657205924576;5.730953912851667;9.457942580885268;12.095421759933938;14.18844002543705;15.672163992650287;9.489148941585213;17.87204483978657;8.809550544604273;10.123279015331715;14.459169281445435;13.6266507330257;11.896069572331388;5.56425403549929;9.896611661764808;7.926952485178035;14.396030749427771;13.535284343309634;4.4203529408029265;12.02018927407756;12.372437832670332;11.974653330351199;15.688593697172355;9.711634938847336;10.056518716772171;12.014721954102074;8.3740488766869;8.548740295796742;7.734326129976981;4.8066248470331265;10.650391224072855;11.437982062855502;14.493579168864049;9.383191407556682;12.331086889060295;11.311224790358525;13.2940070053985;9.604406294170893
8;1.9198369289096386;6.718973778924919;13.670455302736606;9.081010880769304;16.70007136782988;8.83081609387537;16.780910068179907;31.18606509993334;5.776282080474409;9.748162317035227;12.584296987456847;14.382468531731035;15.61441561148072;9.677716252702373;16.57672887553332;9.274143635848056;10.267734104326678;14.21659647029976;13.714981291221568;12.496871116278369;5.524900923122823;10.613313091954454;7.216863508357078;14.92534046368541;14.123129800969433;4.346442870399473;11.892579276156463;13.814120122617663;12.092424306706887;13.817122530783546;9.856550213947157;9.092922460690177;12.145180213520392;8.81248346184203;9.112547097697869;7.725003119357194;4.916544165414255;10.99598703068159;12.411015784935378;14.902976101312504;9.790736653808278;13.16799577459017;11.711031115398498;13.764292734443162;10.951766576355533
9;2.9394853678452786;7.3413205497226635;18.577664543142518;9.198013105236429;15.388439515129857;9.944468212751962;16.76840904611358;32.86850528089144;5.59159043183634;9.21656627556112;12.024491235282833;14.541113420512787;17.863065414223424;8.753264776783789;13.8872092473107;9.077113851557764;9.91619283359843;12.983446356435882;13.11180183616921;12.566110213320092;5.441111196605393;9.559443705198273;7.563304888456951;14.24733803692822;17.104377220540137;4.803434860205099;11.840840787226096;14.051834482632945;11.789113943637606;13.272212045943144;9.660736316148078;8.383183409116523;11.747183843855272;8.991000128237406;9.248918685969942;7.574912348910686;5.69745655563992;12.087262669435535;11.285631423803371;17.013052681729786;10.322933650944515;13.729710322776494;11.096176768921895;13.833362281047837;9.204324853421623
